"","refman_software_text"
"48","All studies identified through the LSHTM and National Police Library search process were first exported to the EndNote bibliographic database for de-duplication"
"50","These documents were filtered for duplicates while conducting the searches, and we used Endnote (a bibliographic management software) to sort and identify further duplicates prior to beginning the review of the search results"
"52","We used the EPPI‐reviewer software to track the search and screening process"
"54","Bibliographic data and abstracts exported into EndNote (in protocol)"
"55","Following these search stages, potential titles and abstracts were imported into Endnote (a bibliographic reference software tool). Once duplicates were removed, the final two stages of the search strategy were conducted and any newly identified references (i.e., from agencies, experts or books) were also imported into Endnote. A second duplicate check was conducted once the literature from all stages were combined."
"58","""Then we ran the search for each intervention. We then combined both searches by using “AND” and kept the searches in a separate EndNote file."""
"59","In order to ensure replicability, all searches were stored into Covidence, an online software product developed by Cochrane community for screening studies and extracting data for systematic reviews."
"60","We used the EPPI‐reviewer software to track the search and screening process"
"61","We imported the records from academic databases into our data management software (EPPI-Reviewer 4), and we used the built-in tool to aid in removing duplicates. The grey literature was imported into and managed in Microsoft Excel due to reference format incompatibility with EPPI-Reviewer 4."
"67","Search results were downloaded in files that contained their full reference information, titles, and abstracts and subsequently imported into the EndNote X8 reference manager program"
"69","We imported all search results into EPPI-Reviewer 41 and removed duplicates"
"71","""We began by importing all search results into EPPI-Reviewer 4 (Thomas et al., 2010)"""
"72","Citations and abstracts were stored in a group library in Zotero, as were full text reports."
"73","Metadata for each study were imported into the Covidence online platform that provides an environment to manage and conduct systematic reviews.5"
"74","Once a full set of potentially relevant citations were identified, the authors received assistance from a Campbell Collaboration representative to de-duplicate the results using EndNote®. After de-duplication, all remaining citations were uploaded to DistillerSR® systematic review software."
"75","Independent screening and deduplication of identified records was carried out in EPPI-Reviewer 4 version 4.12.0.0."
"76","All citations located through searching procedures were imported into Mendeley reference management software (http://www.mendeley.com/). The use of Mendeley allowed us to automatically extract bibliographic data and abstracts from journal articles, book, and/or references. Additionally, we removed all duplicate citations once they were imported into Mendeley."
"78","We imported all search results into EPPI-Reviewer 4 (Thomas & Brunton, 2010) and removed duplicates through the EPPI-Reviewer 4 deduplication process."
"79","For each of the two rounds, the search results were saved in an electronic format using the reference manager software Endnotes"
"80","Independent screening and deduplication of identified records was carried out in EPPI-Reviewer 4 version 4.12.0.0."
"82","We exported the full set of search results directly into an Endnote X9 Library. Where this was not possible, search results were manually entered into the Endnote Library. The Endnote library made it easier to identify duplicates and manage references.
First, we exported search results from the various databases and search engines into an Endnote X9 software. Second, we searched for and removed duplicates using the Endnote software."
"84","We used Zotero to manage references and implement the search strategy below. In addition, we recorded the following information for each conducted search: the date of search, database/website searched, the final search syntax, any modifications or restrictions to the search string, the reported yield from the source, as well as the final yield of studies subsequently exported into Zotero. For database searches in particular, a reported yield would be different than what was exported to Zotero."
